,fire_name,fire_size,fire_size_class,stat_cause_descr,fips_name,latitude,longitude,state,disc_clean_date,cont_clean_date,discovery_month,disc_date_final,cont_date_final,putout_time,disc_date_pre,disc_pre_year,disc_pre_month,wstation_usaf,dstation_m,wstation_wban,wstation_byear,wstation_eyear,Vegetation,fire_mag,weather_file,remoteness,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont
0,,10.0,C,Missing/Undefined,,18.105072,-66.75304399999999,PR,2007-02-11,,Feb,,,,2007-01-12,2007,Jan,785140,58917.697158114606,11603,1945,2018,12,1.0,785140-11603-2007.gz,58750.890365513114,24.480974124809737,24.716923076923074,24.902597402597397,24.527960526315766,4.341807044410369,3.4928571428571478,3.2620915032679774,3.2504132231404825,78.2165898617512,76.79374999999995,76.38157894736838,78.72436974789923,0.0,0.0,0.0,0.0
1,,3.0,B,Arson,Wayne,35.03832998,-87.60999999,TN,2006-12-11,,Dec,,,,2006-11-11,2006,Nov,723235,32665.343266970238,13896,1978,2020,15,0.1,723235-13896-2006.gz,68300.57580490853,7.553433476394869,7.010000000000004,0.3435294117647059,10.448297604035291,2.709763948497827,2.8817073170731713,1.9764705882352958,2.122320302648168,70.83999999999992,65.85891089108917,55.50588235294118,81.68267831149927,59.8,8.4,0.0,86.80000000000001
2,,60.0,C,Arson,,34.9478,-88.7225,MS,2004-02-29,,Feb,,,,2004-01-30,2004,Jan,723235,105122.14953598082,13896,1978,2020,16,1.0,723235-13896-2004.gz,68885.18580554001,4.9719298245614105,5.782765957446808,5.558750000000003,13.696600234466587,3.3644994840040914,2.9238297872340375,2.6958333333333386,3.3690504103164907,75.5316285329745,75.86861313868613,76.81283422459897,65.06380027739249,168.8,42.2,18.1,124.49999999999999
3,WNA  1,1.0,B,Debris Burning,Washoe,39.6414,-119.3083,NV,2005-06-06,2005-06-06,Jun,2005-06-06 02:14:00,2005-06-06 18:00:00,0 days 00:00:00.000000000,2005-05-07,2005,May,724880,43433.32977652793,23185,1942,2020,0,0.1,724880-23185-2005.gz,85691.73638649996,16.275967174677625,18.99618138424823,18.14256410256409,0.0,4.054982415005828,3.398329355608588,3.6712820512820556,0.0,44.77842907385697,37.14081145584728,35.35384615384617,0.0,10.4,7.2,0.0,0.0
4,,2.0,B,Miscellaneous,,30.7006,-90.5914,LA,1999-09-22,,Sep,,,,1999-08-23,1999,Aug,722312,25940.574092480285,3908,1987,2016,12,0.1,File Not Found,70037.89835336996,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,,1.0,B,Debris Burning,,32.0639,-82.4178,GA,1999-03-22,,Mar,,,,1999-02-20,1999,Feb,722691,53847.19792413834,366,1942,2020,12,0.1,File Not Found,65735.0560232,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,,5.2,B,Debris Burning,Berrien,31.31697802,-83.39364888,GA,2009-01-10,,Jan,,,,2008-12-11,2008,Dec,747810,42972.940284054035,99999,2006,2020,12,0.1,747810-13857-2008.gz,66266.42376346655,14.87734095782702,16.409326424870468,0.0,0.0,2.0002144388848926,1.7272020725388655,0.0,0.0,79.89667896678961,73.43181818181819,0.0,0.0,26.0,0.0,0.0,0.0
7,,1.0,B,Campfire,Newton,30.90472001,-93.55749999,TX,2005-11-12,,Nov,,,,2005-10-13,2005,Oct,722820,64017.11753886572,99999,1984,2020,12,0.1,722820-99999-2005.gz,71602.08347948497,16.85193889541714,16.997782705099794,20.434782608695656,11.985559566787003,1.3312573443008238,1.4729490022173004,1.4247826086956525,2.1488567990372833,72.89947780678845,75.06138107416875,77.92462311557784,70.73291139240499,28.400000000000002,27.500000000000004,1.2,55.4
8,,1.0,B,Arson,Stone,35.90031,-92.06118,AR,2007-08-08,,Aug,,,,2007-07-09,2007,Jul,723448,42133.15187096773,53934,1973,2020,15,0.1,723448-53934-2007.gz,70611.48580540848,26.65524060646013,27.26486988847584,28.968063872255488,28.682687591956842,1.7680738786279417,1.7052973977695045,1.8279441117764543,2.103089749877369,68.31902245706746,67.57541899441344,65.07784431137725,60.19685812469318,6.6,3.3,0.0,46.4
9,CRAZY,1.0,B,Miscellaneous,,48.8394,-99.7185,ND,2004-04-19,2004-04-19,Apr,2004-04-19 20:30:00,2004-04-19 22:30:00,0 days 00:00:00.000000000,2004-03-20,2004,Mar,727675,129109.88138305873,99999,1936,2020,15,0.1,727675-99999-2004.gz,74458.93606945999,4.60095011876485,6.861878453038674,6.053333333333334,0.0,6.380760095011844,6.334254143646409,6.645333333333335,0.0,64.6065088757396,55.943037974683556,54.337837837837846,0.0,12.3,1.8,0.0,0.0
10,,8.3,B,Debris Burning,Lowndes,30.84533929,-83.12798679,GA,2010-03-06,,Mar,,,,2010-02-04,2010,Feb,722166,14990.341798098538,99999,2006,2020,12,0.1,722166-93845-2010.gz,66150.77781818555,8.410982658959549,9.007192575406044,8.20899999999999,14.328047464940678,1.9886705202312003,1.7450116009280814,2.2245000000000066,1.7507011866235072,71.26086956521738,69.28103044496491,64.79797979797985,73.07207207207195,76.3,26.200000000000003,8.4,40.5
11,SWR-20150212-008,37.0,C,Arson,Washington,31.195108,-88.150651,AL,2015-02-12,2015-02-12,Feb,,,0 days 00:00:00.000000000,2015-01-13,2015,Jan,998196,56031.33313205594,99999,2008,2020,12,1.0,File Not Found,68734.82771982347,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,,1.0,B,Debris Burning,Haralson,33.85573991,-85.31107517,GA,2003-10-13,,Oct,,,,2003-09-13,2003,Sep,723200,56414.2099941487,99999,1990,2020,16,0.1,723200-93801-2003.gz,67150.68367325795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,,1.0,B,Fireworks,Natchitoches,31.76738,-93.14687,LA,2014-07-06,,Jul,2014-07-06 16:54:00,,,2014-06-06,2014,Jun,722319,5852.660167984574,99999,1942,2020,12,0.1,722319-53943-2014.gz,71346.04112455128,26.384492924528193,26.06816720257243,26.519047619047623,26.927302631578854,1.7716391509433693,1.6297427652733203,2.019047619047621,1.3821820175438395,79.94001199760052,79.94212218649518,67.63095238095241,76.70679182771933,62.79999999999999,4.3,0.0,56.199999999999996
14,,3.0,B,Missing/Undefined,Colleton,32.775,-80.65833333,SC,1993-05-12,1993-05-12,May,,1993-05-12 11:43:00,0 days 00:00:00.000000000,1993-04-12,1993,Apr,722083,58617.397963351934,99999,1945,2020,12,0.1,File Not Found,64809.799667002575,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,ROLSTON,1.0,B,Missing/Undefined,,33.98860931,-103.13527679,NM,1996-02-12,,Feb,,,,1996-01-13,1996,Jan,722686,46845.65518920825,99999,1973,2010,16,0.1,722686-23008-1996.gz,76676.10601054384,3.523045267489704,2.5363636363636397,8.913095238095234,8.396809986130387,6.245931034482733,6.014404432132942,5.798795180722902,6.062726008344892,38.712707182320486,45.18005540166203,40.493975903614434,33.5376044568245,10.0,8.0,0.0,0.0
16,TREE HOUSE LIGHTER,1.5,B,Children,,36.0833,-78.9167,NC,2001-04-16,,Apr,,,,2001-03-17,2001,Mar,722193,23185.423324032607,3722,1973,2020,0,0.1,File Not Found,63806.66044492999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,,1.0,B,Miscellaneous,,36.1647,-91.8397,AR,2000-08-30,,Aug,,,,2000-07-31,2000,Jul,999999,38612.03966189684,23904,1945,2004,0,0.1,999999-94818-2000.gz,70485.15205992997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,,1.0,B,Missing/Undefined,Chatham,35.73848,-79.49695,NC,2007-02-22,,Feb,,,,2007-01-23,2007,Jan,723174,34279.81158026565,93783,2006,2020,15,0.1,723174-93783-2007.gz,64111.2024732829,2.207439024390244,2.713567839195981,2.7745562130177506,9.931642512077302,2.9680981595091755,3.1869346733668333,3.5059171597633183,3.0075242718446376,51.06973684210532,46.70879120879125,48.40236686390533,54.83645443196007,49.0,39.9,0.0,90.2
19,,10.0,C,Arson,,31.5667,-90.5089,MS,2000-07-14,,Jul,2000-07-14 11:46:00,,,2000-06-14,2000,Jun,722355,84071.82573578387,93999,1942,2020,12,1.0,File Not Found,69956.69640704997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,,2.0,B,Missing/Undefined,,18.130913,-66.472954,PR,2007-02-28,,Feb,,,,2007-01-29,2007,Jan,785265,53612.004302756715,494,1945,2018,12,0.1,File Not Found,58614.797682450684,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,TELEPHONE FIRE,5.0,B,Debris Burning,Fannin,33.779575,-96.025915,TX,2010-12-18,,Dec,,,,2010-11-18,2010,Nov,742513,38613.871702849545,99999,2006,2020,16,0.1,742513-53937-2010.gz,72806.55703428284,9.156936011209712,6.582005623242734,6.55804480651731,7.833999999999993,4.2517515179823695,4.165323336457326,5.0250509164969115,4.461399999999958,62.304326450344085,60.116883116883066,53.78222222222222,70.16266375545848,0.0,0.0,0.0,0.0
22,,2.0,B,Miscellaneous,Suffolk,40.84338552,-73.31641886,NY,2004-04-18,2004-04-18,Apr,2004-04-18 14:44:00,2004-04-18 14:44:00,0 days 00:00:00.000000000,2004-03-19,2004,Mar,725039,13776.227833702505,99999,1973,2020,15,0.1,File Not Found,60877.640631493545,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
